COUNTY_CODE,DistrictCode,COUNTY_NAME,DISTRICT_NAME,GRADESPAN
01,0010,ATLANTIC,ABSECON CITY,PK-08
01,0110,ATLANTIC,ATLANTIC CITY,PK-12
01,0120,ATLANTIC,ATLANTIC CO VOCATIONAL,09-12
01,0125,ATLANTIC,ATLANTIC CO SPECIAL SERV,PK-12
01,0570,ATLANTIC,BRIGANTINE CITY,PK-08
01,0590,ATLANTIC,BUENA REGIONAL,PK-12
01,1300,ATLANTIC,EGG HARBOR CITY,PK-08
01,1310,ATLANTIC,EGG HARBOR TWP,PK-12
01,1410,ATLANTIC,ESTELL MANOR CITY,KG-08
01,1540,ATLANTIC,FOLSOM BORO,PK-08
01,1690,ATLANTIC,GALLOWAY TWP,PK-08
01,1790,ATLANTIC,GREATER EGG HARBOR REG,09-12
01,1940,ATLANTIC,HAMILTON TWP,PK-08
01,1960,ATLANTIC,HAMMONTON TOWN,PK-12
01,2680,ATLANTIC,LINWOOD CITY,PK-08
01,2910,ATLANTIC,MAINLAND REGIONAL,09-12
01,3020,ATLANTIC,MARGATE CITY,PK-08
01,3480,ATLANTIC,MULLICA TWP,PK-08
01,3720,ATLANTIC,NORTHFIELD CITY,KG-08
01,4180,ATLANTIC,PLEASANTVILLE CITY,PK-12
01,4240,ATLANTIC,PORT REPUBLIC CITY,KG-08
01,4800,ATLANTIC,SOMERS POINT CITY,PK-08
01,5350,ATLANTIC,VENTNOR CITY,PK-08
01,5760,ATLANTIC,WEYMOUTH TWP,PK-08
03,0040,BERGEN,ALLENDALE BORO,PK-08
03,0080,BERGEN,ALPINE BORO,KG-08
03,0285,BERGEN,BERGEN CO SPECIAL SERVICE,PK-12
03,0290,BERGEN,BERGEN COUNTY VOCATIONAL,09-12
03,0300,BERGEN,BERGENFIELD BORO,PK-12
03,0440,BERGEN,BOGOTA BORO,PK-12
03,0740,BERGEN,CARLSTADT BORO,PK-08
03,0745,BERGEN,CARLSTADT-EAST RUTHERFORD,09-12
03,0890,BERGEN,CLIFFSIDE PARK BORO,PK-12
03,0930,BERGEN,CLOSTER BORO,PK-08
03,0990,BERGEN,CRESSKILL BORO,PK-12
03,1070,BERGEN,DEMAREST BORO,PK-08
03,1130,BERGEN,DUMONT BORO,PK-12
03,1230,BERGEN,EAST RUTHERFORD BORO,PK-08
03,1270,BERGEN,EDGEWATER BORO,PK-06
03,1345,BERGEN,ELMWOOD PARK,PK-12
03,1360,BERGEN,EMERSON BORO,PK-12
03,1370,BERGEN,ENGLEWOOD CITY,PK-12
03,1380,BERGEN,ENGLEWOOD CLIFFS BORO,PK-08
03,1450,BERGEN,FAIR LAWN BORO,PK-12
03,1470,BERGEN,FAIRVIEW BORO,PK-08
