ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LOUISIANA,A.E. Phillips Laboratory School,8-Other education agencies,394,194,195,–,–,5,5,3,1,41,41,148,149,–,–,–,1,22.00,17.91,2.50,18.50,1.00,25.00,–,–,–,–,="0",–,–
ABRAMSON SCI ACADEMY,LOUISIANA,LOUISIANA,RSD-Collegiate Academies,7-Independent Charter District,561,307,253,1,–,21,21,5,2,268,221,8,5,1,2,3,3,36.99,15.17,†,†,36.99,83.74,8252000,1397000,3605000,3250000,14709,3473000,2588000
ACADIA PARISH,Louisiana,LOUISIANA,Acadia Parish,1-Regular local school district that is NOT a component of a supervisory union,9839,5050,4787,9,9,9,5,149,115,1339,1212,3347,3233,–,–,198,214,548.94,17.92,39.00,322.36,163.58,1119.35,95051000,15149000,53342000,26560000,9661,54183000,35390000
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LOUISIANA,Acadiana Renaissance Charter Academy,7-Independent Charter District,887,430,454,1,3,3,4,20,15,39,46,367,388,–,–,1,–,53.08,16.71,6.95,27.16,18.97,86.36,8941000,433000,3525000,4983000,10080,4328000,3089000
ADVANTAGE CHARTER ACADEMY,LOUISIANA,LOUISIANA,Advantage Charter Academy,7-Independent Charter District,553,279,267,–,1,–,–,8,6,268,253,7,10,–,–,–,–,34.30,16.12,5.27,23.03,6.00,67.63,6703000,753000,2952000,2998000,12121,2891000,1776000
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,LOUISIANA,RSD-Akili Academy of New Orleans,7-Independent Charter District,557,281,269,–,2,–,–,3,3,279,268,1,–,–,–,1,–,46.22,12.05,3.00,32.70,10.52,89.52,7485000,1392000,2660000,3433000,13438,3862000,2604000
ALGIERS TECHNOLOGY ACADEMY,LOUISIANA,LOUISIANA,Algiers Technology Academy,7-Independent Charter District,200,104,93,–,–,1,1,6,6,90,76,6,3,3,6,–,2,10.00,20.00,†,1.00,9.00,31.57,2560000,482000,1109000,969000,12800,1204000,880000
ALLEN PARISH,Louisiana,LOUISIANA,Allen Parish,1-Regular local school district that is NOT a component of a supervisory union,4279,2167,2112,29,19,22,18,33,30,438,436,1581,1545,2,1,62,63,321.63,13.30,22.50,187.11,93.52,623.56,48581000,4348000,29928000,14305000,11353,26659000,17209000
APEX COLLEGIATE ACADEMY CHARTER SCHOOL,LOUISIANA,LOUISIANA,Appex Collegiate Academy Charter School,7-Independent Charter District,110,56,43,–,–,–,–,–,–,60,49,1,–,–,–,–,–,5.02,21.91,†,†,5.02,9.04,1155000,13000,434000,708000,10500,327000,212000
ARISE ACADEMY,LOUISIANA,LOUISIANA,RSD-Arise Academy,7-Independent Charter District,486,253,225,–,–,–,–,3,3,251,227,1,–,–,–,1,–,28.02,17.34,2.00,26.02,="0.00",71.36,6569000,1233000,2158000,3178000,13516,3139000,2074000
