"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",3200,"'11-1XX-100-XX","Total Regular Programs-Instruction",4235829.00,4719675.00,4869078.00
01,"Atlantic",0010,"Absecon City",10300,"'11-2XX-100-XX","Total Special Education-Instruction",1190214.00,1098415.00,1215532.00
01,"Atlantic",0010,"Absecon City",11160,"'11-230-100-XX","Total Basic Skills/Remedial-Instruction",95576.00,250.00,58314.00
01,"Atlantic",0010,"Absecon City",12160,"'11-240-100-XX","Total Bilingual Education-Instruction",150307.00,158866.00,172240.00
01,"Atlantic",0010,"Absecon City",17100,"'11-401-100-XX","Total School-Sponsored Cocurricular or Extracurricular Activities-Instruction",63181.00,46224.00,62200.00
01,"Atlantic",0010,"Absecon City",17600,"'11-402-100-XX","Total School-Sponsored Athletics-Instruction",14123.00,34600.00,27100.00
01,"Atlantic",0010,"Absecon City",19620,"'11-421-XXX-XX","Total Before/After School Programs",1200.00,61781.00,13000.00
01,"Atlantic",0010,"Absecon City",27100,"'11-800-330-XX","Total Community Services Programs/Operations",0.00,350.00,350.00
01,"Atlantic",0010,"Absecon City",29180,"'11-000-100-XX","Total Undistributed Expenditures-Instruction (Tuition)",1953039.00,1840647.00,1700330.00
01,"Atlantic",0010,"Absecon City",29680,"'11-000-211-XX","Total Undistributed Expenditures-Attendance and Social Work",61333.00,60856.00,64084.00
01,"Atlantic",0010,"Absecon City",30620,"'11-000-213-XX","Total Undistributed Expenditures-Health Services",103500.00,116238.00,150940.00
01,"Atlantic",0010,"Absecon City",40580,"'11-000-216-XX","Total Undistributed Expenditures-Speech, OT, PT and Related Services",172279.00,211888.00,184326.00
01,"Atlantic",0010,"Absecon City",41080,"'11-000-217-XX","Undistributed Expenditures–Other Support Services, Students–Extraordinary Services",180727.00,221082.00,265267.00
01,"Atlantic",0010,"Absecon City",41660,"'11-000-218-XX","Total Undistributed Expenditures-Guidance",160053.00,130550.00,141405.00
01,"Atlantic",0010,"Absecon City",42200,"'11-000-219-XX","Total Undistributed Expenditures-Child Study Teams",253872.00,280804.00,331963.00
01,"Atlantic",0010,"Absecon City",43200,"'11-000-221-XX","Total Undistributed Expenditures-Improvement of Instruction Services",266607.00,312598.00,305648.00
01,"Atlantic",0010,"Absecon City",43620,"'11-000-222-XX","Total Undistributed Expenditures-Education Media Services/Library",156634.00,205820.00,258879.00
01,"Atlantic",0010,"Absecon City",44180,"'11-000-223-XX","Total Undistributed Expenditures-Instructional Staff Training Services",10266.00,17000.00,19700.00
01,"Atlantic",0010,"Absecon City",45300,"'11-000-230-XX","Total Undistributed Expenditures-Support Services-General Administration",382049.00,530397.00,690334.00
01,"Atlantic",0010,"Absecon City",46160,"'11-000-240-XX","Total Undistributed Expenditures-Support Services-School Administration",462603.00,600433.00,510237.00
01,"Atlantic",0010,"Absecon City",47200,"'11-000-251-XX","Total Undistributed Expenditures-Central Services",249715.00,322436.00,314885.00
01,"Atlantic",0010,"Absecon City",47620,"'11-000-252-XX","Total Undistributed Expenditures-Administrative InformationTechnology",47683.00,28193.00,43749.00
01,"Atlantic",0010,"Absecon City",51120,"'11-000-26X-XX","Total Undistributed Expenditures-Operation and Maintenance of Plant Services",859261.00,1001516.00,1150554.00
01,"Atlantic",0010,"Absecon City",52480,"'11-000-270-XX","Total Undistributed Expenditures-Student Transportation Services",539058.00,613145.00,529685.00
01,"Atlantic",0010,"Absecon City",71260,"'11-XXX-XXX-2X","Total Personal Services-Employee Benefits",2594225.00,2966577.00,3010525.00
01,"Atlantic",0010,"Absecon City",72140,"'","Total Undistributed Expenditures",8452904.00,9460180.00,9672511.00
01,"Atlantic",0010,"Absecon City",72180,"'10-606","Interest Earned on Maintenance Reserve",0.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",72260,"'","Total General Current Expense",14203334.00,15580351.00,16090335.00
01,"Atlantic",0010,"Absecon City",75880,"'12-XXX-XXX-73","Total Equipment",78291.00,78782.00,109582.00
01,"Atlantic",0010,"Absecon City",76260,"'12-000-400-XX","Total Facilities Acquisition and Construction Services",32553.00,40742.00,730242.00
01,"Atlantic",0010,"Absecon City",76380,"'10-604","Interest Deposit to Capital Reserve",0.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",76400,"'","Total Capital Outlay",110844.00,119534.00,839834.00
01,"Atlantic",0010,"Absecon City",77680,"'13-422-100-XX","Total Summer School-Instruction",18243.00,24300.00,55300.00
01,"Atlantic",0010,"Absecon City",77820,"'13-422-200-XX","Total Summer School-Support Services",0.00,2400.00,7400.00
01,"Atlantic",0010,"Absecon City",77840,"'13-422-X00-XX","Total Summer School",18243.00,26700.00,62700.00
01,"Atlantic",0010,"Absecon City",83080,"'13-XXX-XXX-XX","Total Special Schools",18243.00,26700.00,62700.00
01,"Atlantic",0010,"Absecon City",84000,"'10-000-100-56","Transfer of Funds to Charter Schools",645965.00,682794.00,775812.00
01,"Atlantic",0010,"Absecon City",84060,"'","General Fund Grand Total",14978386.00,16409379.00,17768681.00
01,"Atlantic",0010,"Absecon City",84100,"'20-XXX-XXX-XX","Local Projects",2336.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",84200,"'20-475-XXX-XX","Student Activity Fund",0.00,20000.00,20000.00
01,"Atlantic",0010,"Absecon City",85120,"'20-218-100-XX","Total Preschool Education Aid Instruction",404485.00,760595.00,733946.00
01,"Atlantic",0010,"Absecon City",86380,"'20-218-200-XX","Total Support Services",244694.00,361962.00,540770.00
01,"Atlantic",0010,"Absecon City",87040,"'20-218-400-XX","Total Facility Acquisition and Construction Services",30561.00,0.00,23000.00
