"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","LINE_NO","ACCOUNT","LINE_DESC","AMOUNT_1","AMOUNT_2","AMOUNT_3"
01,"ATLANTIC",0010,"ABSECON CITY",3200,"11-1XX-100-XXX","Total Regular Programs - Instruction",3832048.00,3904332.00,4116451.00
01,"ATLANTIC",0010,"ABSECON CITY",10300,"11-2XX-100-XXX","Total Special Education - Instruction",1032535.00,1052923.00,1053230.00
01,"ATLANTIC",0010,"ABSECON CITY",11160,"11-230-100-XXX","Total Basic Skills/Remedial - Instruction",1108.00,1099.00,1050.00
01,"ATLANTIC",0010,"ABSECON CITY",12160,"11-240-100-XXX","Total Bilingual Education - Instruction",153920.00,155963.00,165683.00
01,"ATLANTIC",0010,"ABSECON CITY",17100,"11-401-100-XXX","Total School-Spon. Co/Extra Curr. Actvts. - Inst",28800.00,28800.00,28800.00
01,"ATLANTIC",0010,"ABSECON CITY",17600,"11-402-100-XXX","Total School-Sponsored Athletics - Instruction",7200.00,7200.00,7200.00
01,"ATLANTIC",0010,"ABSECON CITY",19620,"11-421-XXX-XXX","Total Before/After School Programs",7408.00,9700.00,9700.00
01,"ATLANTIC",0010,"ABSECON CITY",27100,"11-800-330-XXX","Total Community Services Programs/Operations",405.00,350.00,350.00
01,"ATLANTIC",0010,"ABSECON CITY",29180,"11-000-100-XXX","Total Undistributed Expenditures - Instruction (Tuition)",1795884.00,2086957.00,1900695.00
01,"ATLANTIC",0010,"ABSECON CITY",29680,"11-000-211-XXX","Total Undist. Expend.-Attendance And Social Work",49310.00,60809.00,62331.00
01,"ATLANTIC",0010,"ABSECON CITY",30620,"11-000-213-XXX","Total Undist. Expenditures - Health Services",98686.00,95086.00,96714.00
01,"ATLANTIC",0010,"ABSECON CITY",40580,"11-000-216-XXX","Total Undist. Expend.-Speech, OT, PT And Related Svcs",143422.00,166438.00,172031.00
01,"ATLANTIC",0010,"ABSECON CITY",41080,"11-000-217-XXX","Total Undist Expend-Oth Supp Serv Std-Extra Serv",43186.00,51841.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",41660,"11-000-218-XXX","Total Undist. Expenditures - Guidance",61836.00,66586.00,70004.00
01,"ATLANTIC",0010,"ABSECON CITY",42200,"11-000-219-XXX","Total Undist. Expenditures - Child Study Teams",249585.00,266016.00,278675.00
01,"ATLANTIC",0010,"ABSECON CITY",43200,"11-000-221-XXX","Total Undist. Expend.-Improv. Of Inst. Serv.",24792.00,56104.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",43620,"11-000-222-XXX","Total Undist. Expend.-Edu. Media Serv./Library",198153.00,154268.00,161885.00
01,"ATLANTIC",0010,"ABSECON CITY",44180,"11-000-223-XXX","Total Undist. Expend.-Instr. Staff Training Serv.",4081.00,7643.00,3000.00
01,"ATLANTIC",0010,"ABSECON CITY",45300,"11-000-230-XXX","Total Undist. Expend.-Support Serv.-Gen. Admin.",309394.00,339786.00,353594.00
01,"ATLANTIC",0010,"ABSECON CITY",46160,"11-000-240-XXX","Total Undist. Expend.-Support Serv.-School Admin.",328904.00,340168.00,346173.00
01,"ATLANTIC",0010,"ABSECON CITY",47200,"11-000-251-XXX","Total Undist. Expend. - Central Services",223827.00,241113.00,241319.00
01,"ATLANTIC",0010,"ABSECON CITY",47620,"11-000-252-XXX","Total Undist. Expend. - Admin. Info Technology",7069.00,9956.00,12159.00
01,"ATLANTIC",0010,"ABSECON CITY",51120,"11-000-26X-XXX","Total Undist. Expend.-Oper. And Maint. Of Plant Serv.",870489.00,877023.00,907854.00
01,"ATLANTIC",0010,"ABSECON CITY",52480,"11-000-270-XXX","Total Undist. Expend.-Student Transportation Serv.",517415.00,581078.00,618927.00
01,"ATLANTIC",0010,"ABSECON CITY",71260,"11-XXX-XXX-2XX","Total Personal Services - Employee Benefits",2030069.00,2144266.00,2364199.00
01,"ATLANTIC",0010,"ABSECON CITY",72140,"","Total Undistributed Expenditures",6956102.00,7545138.00,7589560.00
01,"ATLANTIC",0010,"ABSECON CITY",72180,"10-606","Interest Earned On Maintenance Reserve",0.00,2.00,2.00
01,"ATLANTIC",0010,"ABSECON CITY",72240,"10-607","Interest Earned On Current Expense Emergency Res",0.00,5.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",72260,"","Total General Current Expense",12019526.00,12705512.00,12972026.00
01,"ATLANTIC",0010,"ABSECON CITY",75880,"12-XXX-XXX-730","Total Equipment",0.00,6941.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",76260,"12-000-400-XXX","Total Facilities Acquisition And Const. Serv.",55742.00,35742.00,65742.00
