"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
01,"ATLANTIC",0010,"ABSECON CITY",11,"Onroll (Full)",804.0,804.0,821.0
01,"ATLANTIC",0010,"ABSECON CITY",21,"Onroll (SpEd Full)",79.0,82.0,78.0
01,"ATLANTIC",0010,"ABSECON CITY",40,"Sent Private School",0,1.0,1.0
01,"ATLANTIC",0010,"ABSECON CITY",51,"Sent Oth Dist Reg",33.0,27.0,53.0
01,"ATLANTIC",0010,"ABSECON CITY",52,"Sent Oth Dist SpEd",13.5,12.0,12.0
01,"ATLANTIC",0010,"ABSECON CITY",60,"Received Oth Dist",7.0,15.0,27.0
01,"ATLANTIC",0010,"ABSECON CITY",70,"State Facilities",2.0,0,0.0
01,"ATLANTIC",0110,"ATLANTIC CITY",11,"Onroll (Full)",6630.0,6464.0,6329.0
01,"ATLANTIC",0110,"ATLANTIC CITY",21,"Onroll (SpEd Full)",916.0,911.0,884.0
01,"ATLANTIC",0110,"ATLANTIC CITY",40,"Sent Private School",39.0,36.0,36.0
01,"ATLANTIC",0110,"ATLANTIC CITY",51,"Sent Oth Dist Reg",43.0,69.0,69.0
01,"ATLANTIC",0110,"ATLANTIC CITY",52,"Sent Oth Dist SpEd",83.0,73.0,140.0
01,"ATLANTIC",0110,"ATLANTIC CITY",60,"Received Oth Dist",532.0,662.0,641.0
01,"ATLANTIC",0110,"ATLANTIC CITY",70,"State Facilities",40.0,39.0,39.0
01,"ATLANTIC",0120,"ATLANTIC CO VOCATIONAL",11,"Onroll (Full)",1226.0,1316.0,1350.0
01,"ATLANTIC",0120,"ATLANTIC CO VOCATIONAL",21,"Onroll (SpEd Full)",171.0,183.0,158.0
01,"ATLANTIC",0120,"ATLANTIC CO VOCATIONAL",30,"Post-Secondary (Full)",48.0,47.0,0.0
01,"ATLANTIC",0125,"ATLANTIC CO SPECIAL SERV",21,"Onroll (SpEd Full)",406.0,378.0,365.0
01,"ATLANTIC",0125,"ATLANTIC CO SPECIAL SERV",22,"Onroll (SpEd Shared)",4.0,2.0,2.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",11,"Onroll (Full)",635.0,612.0,601.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",21,"Onroll (SpEd Full)",67.0,71.0,71.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",40,"Sent Private School",5.0,2.0,3.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",51,"Sent Oth Dist Reg",140.0,115.0,133.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",52,"Sent Oth Dist SpEd",20.0,24.0,26.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",60,"Received Oth Dist",1.0,0,0.0
01,"ATLANTIC",0570,"BRIGANTINE CITY",70,"State Facilities",1.0,2.0,2.0
01,"ATLANTIC",0590,"BUENA REGIONAL",11,"Onroll (Full)",1604.0,1526.0,1499.0
01,"ATLANTIC",0590,"BUENA REGIONAL",21,"Onroll (SpEd Full)",353.0,358.0,338.0
01,"ATLANTIC",0590,"BUENA REGIONAL",40,"Sent Private School",23.0,24.0,0.0
