District,2017 Letter Grade ,2017 Annual DPS ,2016 Letter Grade ,2016 Annual DPS ,"2017 Assessment Index
Grades 3-8*",2017 Dropout Credit Accumulation Index*,"2017 Assessment Index
End-of-Course Exams*","2017 Assessment Index
ACT*",Strength of Diploma (Graduation Index) (2015-16 Cohort)*," Cohort Graduation Rate Index 
(Points Earned for Cohort Graduation Rate)      
(2015-16 Cohort)*", Cohort Graduation Rate (Actual Graduation Rate) (2015-16 Cohort)**,2017 Progress Points,"2016 Assessment Index
Grades 3-8*",2016 Dropout Credit Accumulation Index*,"2016 Assessment Index
End-of-Course Exams*","2016 Assessment Index
ACT*",Strength of Diploma (Graduation Index) (2014-15 Cohort)*," Cohort Graduation Rate Index 
(Points Earned for Cohort Graduation Rate)  
 (2014-15 Cohort)*", Cohort Graduation Rate (Actual Graduation Rate) (2014-15 Cohort)**,2016 Progress Points,
Acadia Parish,B,90,B,97.3,78.8,137.4,70.5,90.6,93.4,122.6,86.3,3.3,81.6,139.8,69.6,87.2,89.8,120.2,85.1,10,
Allen Parish,A,103.4,A,104.2,85.9,143.6,77.4,98.2,96.3,127.6,88.8,10,88.6,139.8,68.9,93.4,98.9,132.2,91.1,10,
Ascension Parish,A,110.4,A,109.3,92.6,141.8,97.9,99,105.9,125.8,87.9,10,92.6,140.9,97.1,95,101.5,125.4,87.7,10,
Assumption Parish,B,95,B,93.3,75.5,143.6,67.9,91.4,90.7,119.6,84.8,10,78,139.7,68.9,75.9,88.1,111,80.5,10,
Avoyelles Parish,C,71.5,C,73.6,53.7,128.6,54.7,95.1,86.6,103.4,76.7,3.1,57.3,123,48.3,91.4,75.1,93.2,71.6,6.2,
Beauregard Parish,B,89.3,B,89,78.3,>145,70.4,90.8,99.9,133.2,91.6,0,79.1,>145,72.3,74.9,103.2,137.8,93.9,0,
Bienville Parish,B,93.4,B,86.6,70.7,>145,66.5,85.4,98.2,129.8,89.9,10,75,144,70.6,91.5,96.7,130.8,90.4,0,
Bossier Parish,A,101.1,B,91.7,84.4,143.3,83.6,92.1,93.8,115.6,82.8,10,86.4,141.1,80.7,86.1,95.6,119,84.5,0,
Caddo Parish,C,78.2,C,74.4,62.7,136,62.8,83.6,84.5,98.2,74.1,5,67.2,130,62.7,72.8,84.8,100.4,75.2,0,
Calcasieu Parish,C,84.8,B,86.4,76,136.9,71.4,93.9,95,110.8,80.4,0,79.2,129.6,70.6,92,93.7,115,82.5,0,
Caldwell Parish,B,95.7,B,90.9,71.8,140.2,55.3,101,110.8,139.4,94.7,10,75,137.2,68.9,94.5,101.2,132,91,4.2,
Cameron Parish,A,102.9,A,100.6,85.2,144.8,72.9,95.6,97.6,128.2,89.1,10,82.6,>145,62.7,84.5,102.6,134.6,92.3,10,
Catahoula Parish,B,87,B,87,73,142.8,62.2,105.9,93.5,124.4,87.2,1.7,76.4,138.4,62.2,92.9,81,97.6,73.8,5.9,
Claiborne Parish,C,78.1,D,67.1,51.1,144.4,35.9,83.5,90.9,126.6,88.3,10,55.1,143.9,40.7,65.3,88.5,111.6,80.8,0,
Concordia Parish,C,77.3,C,77.9,65.4,143.7,56.9,79.7,85.9,95.8,72.9,3.7,67.2,136.4,57.5,85.4,82.8,97,73.5,3.1,
DeSoto Parish,A,103.1,A,101.9,82.3,144.2,81.7,89.5,105.1,138.2,94.1,10,81.4,143.3,81.2,79.7,103.4,141.6,>95,10,
East Baton Rouge Parish,C,73.5,C,73.5,71,131.7,59.7,69.1,77.9,84.4,67.2,0,71,131.7,59.7,69.1,77.9,84.4,67.2,0,
East Carroll Parish,D,68.8,B,90.4,42.7,139.9,52.7,74.3,103.1,139.8,94.9,3.9,65.5,138.2,59.4,75.1,110.4,>145,>95,10,
East Feliciana Parish,C,83.5,C,79.5,62.8,138.4,63.8,84.9,80.5,101.8,75.9,10,64.8,138,66.7,52.7,80.4,106,78,7.6,
Evangeline Parish,B,92.5,B,95.8,80,135.4,72.4,90.9,77.5,87,68.5,10,82.7,131.8,68.3,83.3,86.3,109,79.5,10,
Franklin Parish,D,68.8,C,80.5,66.3,137.7,47.7,53.4,76.6,90.6,70.3,0,67.7,129.7,44.1,52.7,81.8,101.8,75.9,10,
Grant Parish,B,86.5,B,96.3,75.5,142.5,76.3,98.2,86.8,109.4,79.7,1.7,79.5,141.4,74.8,80.8,89.9,119,84.5,10,
Iberia Parish,B,94.8,B,94.1,80.6,130.2,78.5,83.4,85.5,100.8,75.4,10,80.8,129.7,72.8,79.7,85.7,102.8,76.4,10,
Iberville Parish,C,81.5,C,82.6,75,130.7,60.8,82.1,83,104,77,1.7,76.4,128.5,68.4,84.1,85.5,112.2,81.1,0,
Jackson Parish,B,88.7,B,90.4,63.5,143.6,62.3,90.7,97.9,131,90.5,10,65.9,>145,70.7,82,100.4,136.8,93.4,10,
Jefferson Parish,C,78.9,C,79.4,70.6,131.2,68,88.7,89.6,101.4,75.7,0,74.5,127.4,70.9,80.3,84.7,96.6,73.3,0,
Jefferson Davis Parish,A,100.6,B,90.6,76.9,>145,77.2,92.5,110.4,135,92.5,10,80.6,144.9,74.2,89.9,102.9,129,89.5,0,
Lafayette Parish,B,93.8,B,96.3,76.4,132.3,78.6,94.9,86.4,100,75,10,81.2,130.3,78,91.1,88,101.8,75.9,10,
Lafourche Parish,A,102.3,A,102.2,83,142.8,89.6,97,101,118.8,84.4,10,85.3,140.1,83.8,95.9,97,117.2,83.6,10,
